Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Benner Township (BEN),State Correctional Institution,Centre,FY 2019-2020,08/31/2019,1979,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Forest (FRS),State Correctional Institution,Forest,FY 2019-2020,08/31/2019,2125,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2019-2020,08/31/2019,2453,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Rockview (ROC),State Correctional Institution,Centre,FY 2019-2020,08/31/2019,2230,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,08/31/2019,1492,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2019-2020,07/31/2019,566,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Forest (FRS),State Correctional Institution,Forest,FY 2019-2020,07/31/2019,2128,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2019-2020,07/31/2019,1182,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2019-2020,07/31/2019,2454,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2019-2020,08/31/2019,2840,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,07/31/2019,2188,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,07/31/2019,139,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,08/31/2019,138,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2019-2020,07/31/2019,2022,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,07/31/2019,5,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2019-2020,08/31/2019,2100,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2019-2020,08/31/2019,202,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2019-2020,07/31/2019,2088,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Chester (CHS),State Correctional Institution,Delaware,FY 2019-2020,07/31/2019,1111,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2019-2020,08/31/2019,1466,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2019-2020,08/31/2019,1210,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2019-2020,08/31/2019,2171,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,08/31/2019,5,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2019-2020,07/31/2019,1381,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Chester (CHS),State Correctional Institution,Delaware,FY 2019-2020,10/31/2019,1130,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,12/31/2019,2248,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,06/30/2019,1093,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,05/31/2019,2879,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2019-2020,12/31/2019,1194,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,05/31/2019,3402,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2019-2020,10/31/2019,540,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,05/31/2019,110,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,05/31/2019,2311,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2019-2020,12/31/2019,2114,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,06/30/2019,6,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,05/31/2019,63,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2018-2019,05/31/2019,1995,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2019-2020,11/30/2019,2169,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,05/31/2019,1007,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,06/30/2019,1117,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,06/30/2019,1183,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,10/31/2019,91,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2019-2020,11/30/2019,1241,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2018-2019,05/31/2019,1164,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,05/31/2019,1365,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2019-2020,12/31/2019,2049,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,05/31/2019,2138,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,06/30/2019,2088,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,06/30/2019,2149,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2019-2020,12/31/2019,196,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,05/31/2019,1240,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,12/31/2019,115,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,05/31/2019,1227,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,06/30/2019,2440,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In County Jails,County Jails,N/A,FY 2019-2020,11/30/2019,20,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,11/30/2019,184,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,05/31/2019,2163,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
In Federal Prisons,Federal Prisons,N/A,FY 2019-2020,10/31/2019,5,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2018-2019,06/30/2019,68,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,12/31/2019,1387,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Mercer (MER),State Correctional Institution,Mercer,FY 2019-2020,12/31/2019,1378,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2018-2019,06/30/2019,995,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,05/31/2019,545,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,06/30/2019,2031,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2018-2019,05/31/2019,2054,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,11/30/2019,103,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2018-2019,05/31/2019,2459,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In County Jails,County Jails,N/A,FY 2018-2019,05/31/2019,311,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,05/31/2019,1430,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,05/31/2019,6,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,06/30/2019,2225,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2019-2020,12/31/2019,135,"N/A
N/A, N/A N/A"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2018-2019,06/30/2019,2920,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,06/30/2019,209,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,06/30/2019,112,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2019-2020,11/30/2019,2362,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,06/30/2019,1230,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
In County Jails,County Jails,N/A,FY 2018-2019,06/30/2019,313,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,06/30/2019,2315,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,06/30/2019,1370,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2018-2019,06/30/2019,3386,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2019-2020,12/31/2019,1351,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,05/31/2019,148,"N/A
N/A, N/A N/A"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,06/30/2019,107,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,05/31/2019,1451,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Albion (ALB),State Correctional Institution,Erie,FY 2018-2019,05/31/2019,2233,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,06/30/2019,1346,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2019-2020,10/31/2019,164,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2019-2020,12/31/2019,2167,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,06/30/2019,2297,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2019-2020,12/31/2019,2928,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2019-2020,12/31/2019,2929,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Rockview (ROC),State Correctional Institution,Centre,FY 2019-2020,10/31/2019,2258,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,05/31/2019,1566,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,06/30/2019,2067,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2018-2019,06/30/2019,1380,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,05/31/2019,186,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2019-2020,11/30/2019,2484,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,05/31/2019,217,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2018-2019,05/31/2019,1337,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,06/30/2019,555,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Forest (FRS),State Correctional Institution,Forest,FY 2019-2020,11/30/2019,2181,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,11/30/2019,2230,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,06/30/2019,142,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,06/30/2019,197,"N/A
N/A, N/A N/A"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2019-2020,11/30/2019,1470,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,11/30/2019,1734,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,05/31/2019,1767,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,06/30/2019,1728,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2019-2020,07/31/2019,1248,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2019-2020,07/31/2019,1361,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Chester (CHS),State Correctional Institution,Delaware,FY 2019-2020,08/31/2019,1115,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2019-2020,07/31/2019,2322,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2019-2020,07/31/2019,1977,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Phoenix (PHX),State Correctional Institution,Montgomery,FY 2019-2020,07/31/2019,2780,"1200 Mokychic Drive
Collegeville, PA 19426
(40.23401289, -75.42497814)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2019-2020,07/31/2019,2284,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2019-2020,08/31/2019,121,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2019-2020,08/31/2019,1983,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Albion (ALB),State Correctional Institution,Erie,FY 2019-2020,08/31/2019,2202,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Mercer (MER),State Correctional Institution,Mercer,FY 2019-2020,08/31/2019,1393,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2019-2020,08/31/2019,182,"N/A
N/A, N/A N/A"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2019-2020,08/31/2019,982,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Rockview (ROC),State Correctional Institution,Centre,FY 2019-2020,07/31/2019,2251,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2019-2020,07/31/2019,3335,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2019-2020,08/31/2019,2021,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2019-2020,07/31/2019,195,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,08/31/2019,87,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2019-2020,07/31/2019,84,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,07/31/2019,1704,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Greene (GRN),State Correctional Institution,Greene,FY 2019-2020,08/31/2019,1709,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2019-2020,07/31/2019,1518,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2019-2020,07/31/2019,1355,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2019-2020,08/31/2019,2279,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2019-2020,07/31/2019,1480,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2019-2020,07/31/2019,192,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2019-2020,07/31/2019,62,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2019-2020,08/31/2019,2317,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2019-2020,07/31/2019,1094,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
