street_registered,state_registered,count(1)
5462 NORTHRIDGE DRIVE,NC,3
5403 REBECCA LYNN LANE,NC,6
4120 PINEY GAP DR,NC,6
9117 LANCASTER HIGHWAY,NC,3
110 TRIDENT CT,NC,3
8204 EMERALD DRIVE UNIT 5,NC,10
116 SOUTH FRANKLIN STREET,NC,7
160 NE MAYNARD RD.  SUITE 210,NC,83
1600 A ST STE 304,AK,36
1626 S MADISON STR,NC,4
812 LAUREL GARDEN WAY,NC,5
500 WILLOW BEND LANE,NC,3
1171 S EASTERN BLVD,NC,3
2125 LOWER LAKE ROAD,NC,3
706 GREEN VALLEY ROAD  SUITE 410,NC,5
117 CROSSLAKE PARK DRIVE,NC,11
910 WEST KING ST,NC,10
7320 SIX FORKS ROAD SUITE 100,NC,8
200 VALENCIA DRIVE,NC,6
11717 MT HOLLY HUNTERSVILLE ROAD,NC,4
57229 ISLAND CLUB LANE,NC,3
2425 MERRILL FIELD DR,AK,5
50 COTTON CREEK CIRCLE,NC,5
18204 MAINSAIL POINTE,NC,3
118 HOSPITAL STREET,NC,3
150 FAYETTEVILLE ST  SUITE 2300,NC,3
11540 BRIDDLE HALL CT,NC,3
14223-A NC HWY 50,NC,13
110 N. DOUGHERTY ST.,NC,4
2017 CREEK ROAD,NC,3
13209-I CAROWINDS BLVD,NC,3
2901 COLTSGATE ROAD SUITE 100,NC,6
8410 PIT STOP CT NW STE 151,NC,8
1815 BACK CREEK DR,NC,8
804 GREEN VALLEY ROAD  STE. 200,NC,4
2805 HIATT ST,NC,3
1404 COMMONWEALTH DRIVE STE 250,NC,16
2980 PLANTERS PLACE,NC,3
1733 DAWSON ST,NC,6
1200 MAURY LANE,NC,3
821 WALNUT AVENUE,NC,3
1645 WESTBROOK PLAZA DRIVE,NC,3
4030 WAKE FOREST RD STE 349,NC,92
6723 STANETTE DRIVE,NC,3
1407 W 31ST AVE 7TH FL,AK,8
3545 MILHAVEN RD,NC,5
150 FAYETTEVILLE STREET  SUITE 2300,NC,90
310 K ST STE 200,AK,38
2848 ICARD RHODHISS ROAD,NC,5
420 L ST STE 310,AK,131
1225 HILL ST,NC,3
13616 IDLEWILD ROAD,NC,3
300 NORTH GREENE STREET  SUITE 200,NC,37
6110 BRAIDWOOD CT,NC,3
1001 MILITARY CUTOFF ROAD  STE 204,NC,6
48 PATTON AVE,NC,157
102 STATE ST,AK,4
120 APPLECROSS RD,NC,17
67 WILD CHERRY ROAD,NC,7
3120 N. CROATAN HIGHWAY  SUITE 101,NC,19
114 N ELM ST STE 400,NC,11
145 CHARLOTTE HWY. SUITE 30,NC,20
468 MAIN STREET,NC,4
601 W 41ST AVE STE 201,AK,33
1106 W CORNWALLIS RD SUITE 201,NC,3
2719 GRAVES DRIVE  SUITE 21,NC,19
120 GREENWICH ROAD,NC,15
110 PARMELE BLVD,NC,3
8105 GREYS LANDING WAY,NC,18
135 APPLECROSS ROAD,NC,44
6245 US HWY 74,NC,5
102 W. BROAD ST,NC,3
1507 RADIAN RD,NC,4
120 SOUTH BOYLAN AVE,NC,8
159 S LEXINGTON AVE,NC,4
2924 CHELSEA DR,NC,6
8508 PARK ROAD #138,NC,5
5302 HIGHCROFT DRIVE,NC,4
203 MAIN ST,NC,3
1151 EXECUTIVE CIRCLE  SUITE 102,NC,9
11010 LAKE GROVE BLVD STE 100-313,NC,11
1205 N ROTARY DRIVE,NC,4
1309 UNION ROAD,NC,3
600 TOWNE CENTRE BLVD. SUITE 104,NC,12
1128 TURNBERRY LANE,NC,3
13 N. MAIN ST.,NC,4
718 DOCTORS DRIVE,NC,5
211 CHOWAN ROAD,NC,7
7540 MATTHEWS MINT HILL RD,NC,12
8508 PARK ROAD  #138,NC,3
1201 EAST BOULEVARD,NC,4
13801 REESE BOULEVARD WEST  SUITE 110,NC,23
4310 GARRETT ROAD,NC,3
6201 FAIRVIEW RD STE 200,NC,7
3529 E. 88TH AVE.,AK,4
4605 SUN VALLEY DRIVE,NC,3
1208 THE PLAZA,NC,8
12500 SUMMER DRIVE,AK,8
1101 HAYNES STREET SUITE 205,NC,13
119 JENNY LIND DRIVE,NC,4
36 BLUFF COVE RD,NC,4
239 CATAWBA AVE,NC,8
106 EAST WATER STREET,NC,6
1121 SITUS COURT SUITE 130,NC,4
121 WILKIE ST,NC,3
10130 PERIMETER PARKWAY SUITE 200,NC,34
4046 BATTLEGROUND AVE  3G,NC,37
122 N MCDOWELL ST,NC,14
20437 HARBORGATE COURT  UNIT 704,NC,4
124 W SWANSON AVE,AK,3
607 OLD STEESE HWYSTE B306,AK,3
1237 BELLEMEADE LANE,NC,4
17 BUDDY CT,NC,3
405 MARIE WAY,NC,3
1213 WEST MOREHEAD STREET SUITE 150,NC,8
1211 E. MOREHEAD STREET,NC,7
2316 SPRINGDALE AVENUE,NC,10
1216 S. MINT STREET,NC,4
810 N ST. SUITE 100,AK,4
4722 PARK ROAD SUITE B,NC,4
926 2ND STREET NE  SUITE 201,NC,7
8405 SLATE ST,NC,3
20 CUMMINGS COVE PARKWAY,NC,8
417 GRAYLYN PLACE,NC,6
2801 CRISMAN STREET,NC,9
1944 HENDERSONVILLE ROAD  SUITE E-1,NC,6
301 W. MAIN STREET,NC,26
2840 PLAZA PLACE  SUITE 315,NC,12
5 BRECKENRIDGE PARKWAY,NC,9
8600 WESTMORELAND DRIVE NW,NC,5
1221 DALLAS STANLEY HIGHWAY,NC,3
126 N MAIN ST,NC,8
1223 MINTER PL,NC,4
110 OAKWOOD DRIVE STE 300,NC,40
703 N. MAIN STREET,NC,3
8040 HOLDENS CROSS RD,NC,3
118 NORTH STERLING STREET,NC,38
240 LEIGH FARM ROAD  SUITE 100,NC,81
6965 NORTHPARK BLVD  SUITE C,NC,14
416 POLLOCK STREET,NC,102
901 JORDAN HILLS DRIVE,NC,6
125 AMESBURY LANE,NC,8
1950 BRENTMOOR DR APT 308,NC,36
206 YACHT ISLAND DRIVE,NC,9
108 S. PITT STREET,NC,28
712 WEST JOHNSON ST,NC,4
3510 MOSSDALE AVE,NC,3
105 PROMENADE LANE,NC,6
1095 HENDERSONVILLE ROAD,NC,18
2810 KIDD ROAD,NC,3
269 FORTESCUE ROAD,NC,3
1224 S. MINT STREET,NC,5
131 WARDS RIDGE DRIVE,NC,13
75 N. MARKET STREET,NC,8
65 HEMLOCK CT,NC,3
2019 EASTCHESTER DRIVE,NC,12
2 SOUTH SALISBURY STREET,NC,26
1243 OLD FARMER RD,NC,5
4125 WAYLON ROAD,NC,3
110 W GRAY EAGLE STREET SUITE 101,NC,40
745 RICE COVE ROAD,NC,5
8720 FLEET SERVICE DRIVE,NC,5
3700 GLENWOOD AVENUE  SUITE 430,NC,10
2616 AUGUSTA DRIVE,NC,4
143 NE 11TH STREET,NC,3
125 COMMERCE PARK RD STE 105,NC,3
125 A FLINT STREET,NC,3
125 MARKET STREET,NC,5
609 GLENWOOD AVE,NC,15
405 EAST MARKET STREET,NC,16
8008 CORPORATE CENTER DR STE 150,NC,7
421 N. BLOUNT STREET,NC,64
2343 PROFESSIONAL DRIVE,NC,14
3852 N CLARK-WOLVERINE RD,AK,3
1430 S. MINT STREET  SUITE 104,NC,3
110 W GRAY EAGLE ST STE 101,NC,21
514 S STRATFORD RD STE 333,NC,11
806 GREEN VALLEY ROAD SUITE 200,NC,21
4601 SIX FORKS ROAD SUITE 400,NC,30
3737 HOWARD GAP ROAD,NC,12
196 NORTH TRADE STREET,NC,24
141 SNOWS LANE,NC,7
126 N MAIN STREET,NC,3
501 DEVEREUX STREET,NC,4
425 INDUSTRIAL DRIVE,NC,23
127 MARKETPLACE DRIVE,NC,4
5033 MILFORD RD,NC,5
203 OLD ST. PAULS CHURCH RD SW SUITE 201,NC,7
125 SCALEYBARK ROAD,NC,12
175 CARTER COVE ROAD,NC,3
146 PANDA TRAIL,NC,8
15800 YOUNGBLOOD RD,NC,5
14203 DERBY FARM LANE,NC,3
2300 W MEADOWVIEW RD STE 124,NC,105
500 FRANCISCA LANE,NC,3
1 HIGH MEADOWS DRIVE,NC,4
100 NORTH CHERRY STREET  SUITE 600,NC,342
3905 W. FRIENDLY AVENUE,NC,4
7333 WINERY LANE,NC,3
55 IVY WAY,NC,3
301 CUMBERLAND STREET,NC,3
366 BACK CREEK TER,NC,3
415 BEE TREE ROAD,NC,3
1645 E ARLINGTON BLVD STE C,NC,6
5605 CARNEGIE BOULEVARD  SUITE 110,NC,19
2026 PROVIDENCE ROAD,NC,3
7695 MONCURE PITTSBORO ROAD,NC,6
5605 CARNEGIE BLVD  SUITE 110,NC,8
129 WOODBRIAR ROAD,NC,4
303 ROBINIA DRIVE,NC,3
128 E. HARGETT STREET  SUITE 300,NC,28
"1400 WEST BENSON BLVD., SUITE 370",AK,88
380 KNOLLWOOD ST STE 700,NC,26
2180 TALMAGE DR.,NC,5
104 MANOR GARDEN WAY,NC,3
1219 GRECADE ST,NC,4
4919 GANN TRL,NC,3
1800 CAMDEN RD STE 107-230,NC,4
733 CATAWBA CIR N,NC,3
614 N. MAIN ST.,NC,3
130 FORT HUGAR WAY,NC,5
701 FINGER LAKES DR,NC,4
1213 W MOREHEAD ST 5TH FLOOR,NC,3
4523 PARK ROAD  SUITE 201A,NC,28
301 GLENWOOD AVE STE 280,NC,3
2832 ALISON ROAD,NC,5
1302 JEFFERSON ROAD,NC,5
1641 DALE EARNHARDT BLVD.,NC,4
1302 MEDICAL CENTER DRIVE,NC,3
3771 BARNWELL DR,NC,22
2126 SOUTHFORK FARM LANE,NC,3
3101 RUTLEDGE CT,NC,4
11020 DAVID TAYLOR DRIVE  SUITE 201,NC,3
1030 MEADOW MOUSE RD,AK,4
200 OLD WINSTON ROAD  STE 103,NC,3
525 NORTH TRYON STREET SUITE 1600,NC,24
3 LANIER DR,NC,3
4600 MARRIOTT DRIVE SUITE 400,NC,35
1001 WIND LAKE WAY,NC,3
117-C CHERRY STREET,NC,5
614 J AVE,NC,4
9606 BAILEY ROAD  STE. 247,NC,7
150 FAYETTEVILLE STREET SUITE 2300,NC,45
131 PLANTATION RIDGE DR. SUITE 200,NC,10
131 PROVIDENCE ROAD  SUITE 105,NC,10
12417 MORIAH WAY,NC,6
200 CARPATHIAN WAY,NC,3
900 CAMERON-BROWN BLDG,NC,5
1310 SOUTH TRYON STREET  SUITE 104,NC,3
405 WEST 36TH AVE. SUITE 200,AK,32
310 HALES WOOD RD,NC,5
4304 TOLLINGTON DRIVE,NC,3
228 KILLINGTON PLACE,NC,3
6060 BRISTOL DRIVE,AK,3
4100 MACKINAC ISLAND LANE,NC,4
5970 FAIRVIEW ROAD SUITE 710,NC,13
4131 PARKLAKE AVENUE SUITE 400,NC,11
110 S STRATFORD ROAD SUITE 500,NC,5
1125 E. MOREHEAD STREET  SUITE 202,NC,5
613 US 158 BYPASS,NC,5
16928 LANCASTER HIGHWAY SUITE 109,NC,50
1235 EAST BLVD E-127,NC,3
901 PHOTO AVENUE,AK,5
920 DURHAM ST,NC,51
2120 COLEY FOREST PL,NC,7
11901 POSSUM TRACK ROAD,NC,4
311 POINT COMFORT ROAD,NC,3
2 COUCH ROAD,NC,40
235 SHEPARD DRIVE,NC,3
6401 STARGAZE LANE,NC,7
77 MORGAN RD,NC,3
1323 CAPITAL BLVD,NC,5
10 CEDARCLIFF RD,NC,3
491 GEORGE WILSON ROAD,NC,4
2 REGIONAL CIRCLE,NC,81
5100 WINDING VIEW LANE,NC,4
1201 GLEN MEADE ROAD,NC,56
1430 COMMONWEALTH DRIVE SUITE 102,NC,12
833 STATE FARM ROAD,NC,13
2124 CLUB RD,NC,4
601 S. MAIN STREET,NC,5
310 HECK STREET,NC,6
1016 W 6TH AVE STE 201,AK,6
176 MINE LAKE COURT SUITE 100,NC,397
1314 S CROATAN HWY  SUITE 301,NC,10
1330 SUNDAY DRIVE SUITE 105,NC,25
15885 ROSMAN HIGHWAY,NC,4
5117 PENNY RD,NC,4
4841 LAKEVIEW RD,NC,4
507 W FRANKLIN BLVD,NC,3
43 WEST MAIN STREET,NC,91
1430 RASPBERRY RUN,NC,7
542 WILLIAMSON RD STE A,NC,5
175 WEST NEW HAMPSHIRE AVENUE,NC,5
122 W UNION ST,NC,5
57 VALLEY RIVER AVE,NC,7
1414 RALEIGH ROAD  SUITE 320,NC,13
136 MAIN STREET,NC,12
137 HAZEL STREET,NC,7
1234 WYNDCROFTE PLACE,NC,4
2626 GLENWOOD AVE  STE 560,NC,3
1000 NC MUSIC FACTORY BLVD SUITE C4,NC,22
101 S HWY 64/264,NC,7
205 PROVIDENCE ROAD,NC,3
900 DOVER ROAD,NC,3
13721 MALASPINA,AK,3
1373 SWEETEN CREEK RD,NC,4
244-A CRAVEN STREET,NC,22
4627 KERSHAW ROAD,NC,4
401 CHESTNUT STREET SUITE A,NC,3
204 RIGSBEE AVE,NC,4
6201 FAIRVIEW ROAD SUITE 330,NC,20
1009 HARDIMONT ROAD,NC,6
138 CHURCH ST,NC,3
114 E JONES ST,NC,5
100 BANTIFF WAY,NC,5
8713 SEDGEBURN DRIVE,NC,3
7040 HOMER DRIVE,AK,14
2626 GLENWOOD AVE  STE 550,NC,337
13420 REESE BLVD W,NC,21
2133 HENDERSONVILLE ROAD,NC,18
252 S. MIDDLETON DR. NW,NC,4
6801 MORRISON BOULEVARD  SUITE 400,NC,14
4814 ROCKVIEW CT,NC,7
205 W MAIN ST,NC,3
110 OAKWOOD DR.  STE. 300,NC,3
5650 OLD BEATTY FORD ROAD,NC,6
224 TOWERVIEW COURT,NC,8
3 HASTINGS SQUARE,NC,3
6531 GLENMOOR DR,NC,3
2300 E 7TH STREET SUITE 101-A,NC,3
4208 SIX FORKS ROAD SUITE 1000,NC,35
1010 BEECH LANE,AK,8
1400 W BENSON BLVD STE 425,AK,3
507 OLD TOLL CIRCLE,NC,28
172 HUNTLEY PLACE,NC,3
4111 SOUTH BOULEVARD,NC,5
3516 CHAUCER PLACE,NC,3
932 HENDERSONVILLE ROAD  STE. 201,NC,4
453 BIG WILLOW WAY,NC,12
1904 EASTWOOD ROAD  SUITE 214,NC,3
7022 WOODBRIDGE VALLEY CIRCLE,NC,3
1405 BRADY SPRINGS RD,NC,5
500 KIVETT DAIRY ROAD,NC,7
102 N 15TH STREET,NC,5
7245 MINE SHAFT ROAD,NC,7
620 N CHURCH ST #1801,NC,5
4208 SIX FORKS RD.  STE 1000,NC,7
300 MCGILL AVE NW STE 100,NC,13
1502 CEDAR RIDGE FARM ROAD,NC,3
341 BECKWICK LANE,NC,4
19109 WEST CATAWBA AVENUE  SUITE 200,NC,7
148 AVON AVENUE,NC,3
1009 N. LAKE PARK BOULEVARD  SUITE A-3 PLEASURE ISLAND PLAZA,NC,3
202 E MAIN ST,NC,13
125 N. WILLOW STREETSUITE B,AK,5
8916 ELROSE PL,NC,3
1590 WESTBROOK PLAZA DRIVE  STE 203,NC,23
3085 MOUNTAINWOOD CIR,AK,1189
301 RIVER RUN RD,NC,3
1569 GABLE ST,NC,3
1355 GREENWOOD CLIFF SUITE 300,NC,4
1330 PATTON AVENUE SUITE D,NC,4
408 MAIN STREET,NC,14
542 WILLIAMSON ROAD,NC,4
107 CHESTNUT SQUARE,NC,59
9564 BLOSSOM HILL DR,NC,3
A-3 PLEASURE ISLAND PLAZA,NC,7
510 MAYMOUNT DRIVE,NC,4
2235 GATEWAY ACCESS POINT  STE 201,NC,3
118 N. STERLING ST.,NC,18
101 MYRICK COURT,NC,3
9711 DAVID TAYLOR DR,NC,4
1420 E. 7TH STREET  SUITE 150,NC,21
3301 BENSON DRIVE  SUITE 103,NC,22
1426 BROAD ST,NC,3
2601 OBERLIN ROAD SUITE 100,NC,20
110 OLDE ALPHE CIRCLE,NC,3
140 AZALEA CIRCLE,NC,19
503 SEXTANT COURT,NC,3
160 MINE LAKE CT. SUITE 200,NC,14
204 C WEST WOODLAWN ROAD,NC,6
"601 W 41ST AVE, STE-201",AK,70
100 EAST MAIN STREET,NC,4
526 UNITED DRIVE,NC,3
3110 EDWARDS MILL RD SUITE 100,NC,12
206 CAUSEWAY DRIVE #1370,NC,4
417 BRADLEY CREEK POINT ROAD,NC,11
1332 RESERVOIR VIEW LANE,NC,6
6339 GLENWOOD AVENUE,NC,3
1300 BAXTER STREET  SUITE 100B,NC,3
183 BARTLETT ST UNIT 110,NC,3
723 COLISEUM DRIVE  SUITE 101,NC,36
705 WEST MAIN STREET,NC,18
10828 REID ALEXANDER LANE,NC,3
1213 CULBRETH DRIVE,NC,76
2530 MERIDIAN PARKWAY  SUITE 300,NC,44
1420 E. 7TH STREET SUITE 150,NC,3
1450 ATLANTIC AVE,NC,4
185 WILLIAMSTON RIDGE DR,NC,5
710 ARENDELL STREET  SUITE 105,NC,6
1612 MILITARY CUTOFF RD SUITE 108,NC,20
2730 ROZZELLES FERRY RD STE A,NC,6
1204 NORTH LAKE PARK BLVD  SUITE E,NC,3
790-8 SUNSET BLVD,NC,8
15 PEARSON DRIVE,NC,5
2625 GLENWOOD AVENUE SUITE 550,NC,330
918 HOPE MILLS ROAD,NC,3
7804 FAIRVIEW RD #216,NC,5
605 W TUDOR RD,AK,3
3125 TUCKASEEGEE ROAD,NC,3
2300 E. 7TH STREET  SUITE 101,NC,7
1227 ROCKINGHAM RD,NC,32
105 W STATE ST,NC,5
10130 MALLARD CREEK ROAD  SUITE 300,NC,29
1480 PAMALEE DRIVE,NC,5
903 MANOR DR,NC,4
800 CIRCLE TRACE ROAD,NC,3
221 CABLE LAKE CIR,NC,4
1409 G STREET,AK,15
10-B YORKSHIRE STREET,NC,3
160 LALON LANE,NC,3
3737 GLENWOOD AVE STE 260,NC,12
117 PEMBROOKE RIDGE COURT,NC,3
310 K ST SUITE 200,AK,36
10820 ASHLAND MILL COURT,NC,3
3100 CAMBRIDGE ROAD,NC,4
201 EAST LIVERMORE DRIVE,NC,3
43 PINEHURST ROAD,NC,3
5675 MASHOES ROAD,NC,3
1033 WADE AVENUE SUITE 102,NC,3
7005 WINDSOR WAY,NC,3
5216 PARKER MANOR CT,NC,3
5016 GAILARDIA DR,NC,6
8601 SIX FORKS RD SUITE 400,NC,17
12221 SHENANDOAH RD,AK,3
5500 WOODLAND TRACE,NC,4
3209 HENDERSON FIELD ROAD,NC,5
3228 LATROBE DRIVE,NC,3
705 GRIFFITH STREET SUITE 204,NC,62
219 W BROAD ST,NC,3
525 NORTH TRYON STREET SUITE 700,NC,45
525 N TRYON STREET SUITE 700,NC,5
2201 LEGACY OAK DRIVE,NC,6
6047 TYVOLA GLEN CIRCLE STE 100,NC,169
210 CHILDS DR.,NC,3
210 NORTH COLUMBIA STREET,NC,13
11725 BROADFIELD COURT,NC,5
115 FOLLY COURT,NC,3
5 FERNWOOD COURT,NC,3
3440 TORINGDON WAY  STE 205,NC,8
1650 MILITARY CUTOFF ROAD  SUITE 200,NC,8
1504 S HORNER BLVD,NC,5
1314 S CROATAN HWY STE 301,NC,7
1800 ODESSA LANE,NC,3
405 STONEBROOK DR,NC,4
435 S WESLEYAN BLVD,NC,3
1512 CROSS BEAM DR,NC,5
5633 KIRKSTALL DR,NC,3
1127 W. 7TH AVENUE,AK,64
575 MILITARY CUTOFF RD STE 106,NC,9
309 GALLIMORE DAIRY ROAD SUITE 102,NC,14
309 GALLIMORE DAIRY ROAD  SUITE 102,NC,21
309 GALLIMORE DAIRY RD STE 102,NC,25
8151 WEBBS ROAD,NC,9
6922 HABERDEEN DRIVE,NC,4
1300 BAXTER ST SUITE 100B,NC,3
10935 WINDS CROSSING DRIVE  SUITE 500,NC,58
201 BELLARIS ST,NC,6
6805 MORRISON BLVD SUITE 250,NC,46
221 CABLE LAKE CIRCLE,NC,6
6228 EAGLE PEAK DRIVE,NC,3
4124 SHERBROOKE DRIVE,NC,6
3430 TORINGDON WAY STE 200,NC,16
170 NANZETTA WAY,NC,5
4101 LAKE BOONE TRL STE 300,NC,18
516 S NEW HOPE ROAD,NC,16
221 WEST FAIRGROUND AVE,NC,3
5204 BENTGRASS DR,NC,3
209 DELBURG STREET  SUITE 203,NC,99
6805 FAIRVIEW RD STE 100,NC,3
540 NW BROAD STREET,NC,3
5814 CHALYCE LANE,NC,7
14 NORMANDY RD,NC,4
110 SOUTH STRATFORD ROAD-5TH FLOOR,NC,287
5605 HIGHWAY 49,NC,29
23 SILVER DARTER LANE,NC,3
4500 CAMERON VALLEY PKWY STE 325,NC,5
501 OLD TOLL CIRCLE,NC,4
34878 S CARLS LANDING ST,AK,5
5005 CELBRIDGE PLACE,NC,4
333 SUNSTONE DRIVE,NC,3
955 SOCO RD,NC,3
916 EAST BOULEVARD,NC,3
103 COURTLAND AVENUE,NC,3
2102 FAY STREET,NC,4
11301 BLAIR ROAD,NC,19
101 N. FRONT ST,NC,7
159 SOUTH LEXINGTON AVENUE,NC,5
529 DYNAMIC DRIVE,NC,3
4915 MONROE ROAD,NC,19
162 FOOTHILL RD.,AK,3
10 TENNESSEE STREET,NC,5
C/O HOLMES WEDDLE & BARCOTT701 W 8TH AVE STE 700,AK,16
"125 N. WILLOW ST, STE B",AK,11
500 YUMA STREET,NC,5
125 GROSVENOR DR,NC,3
158 MOTOR ROAD,NC,3
1908 EASTWOOD ROAD  SUITE 321,NC,30
2807 HOMESTEAD ROAD,NC,3
10 LOCH RIDGE COURT,NC,3
2906 ROZZELLES FERRY RD,NC,12
160 BROADWAY ST.,NC,3
2701 FREEDOM DRIVE,NC,6
11320 JAMES JACK LANE,NC,3
566 VILLAGE COURT,NC,6
200 PROVIDENCE RD STE 106,NC,7
3901 CAPITAL BLVD SUITE 139,NC,8
1201 STALLINGS ROAD,NC,41
1600 CAMDEN ROAD SUITE 200,NC,4
327 HILLSBOROUGH STREET,NC,304
1600 TONGASS AVE,AK,20
1204 CENTRAL AVE SUITE 201,NC,5
19401 OLD JETTON ROAD SUITE 101,NC,3
8214 COUNTY DOWNS LANE,NC,3
6209 W FRIENDLY AVE,NC,4
1602 E ROOSEVELT BLVD,NC,3
8929 J M KEYNES DR STE 500,NC,38
10130 MALLARD CREEK RD SUITE 300,NC,29
1535 VILLAGE GLENN DRIVE,NC,4
7511 THRIFTWOOD CT,NC,3
2310 CONTENTMENT CT,AK,3
1606 S. LIVE OAK PARKWAY,NC,3
302 WEST BROAD STREET,NC,6
1135 KILDAIRE FARM RD STE 321,NC,8
575 MILITARY CUTOFF ROAD SUITE 106,NC,10
214 QUEENSFERRY RD.,NC,3
257 RAM LOOP,NC,4
8505 E. OAK ISLAND DRIVE  SUITE 2,NC,6
301 S. MCDOWELL ST.  SUITE 410,NC,4
277 QUEENS ROAD,NC,6
75 TANGLEWOOD DRIVE,NC,5
403 SOUTH BROAD STREET,NC,3
7004 OLD TRAIL DR,NC,3
7810 KING ST,AK,8
125-1 GREGORY ROAD NE,NC,3
5318 BURNING OAK COURT,NC,4
304 NORTH 35TH ST,NC,3
604 W KINGSTON AVE,NC,4
5556 CAROLINA BEACH RD,NC,3
5556 CAROLINA BEACH ROAD,NC,4
828 EAST BOULEVARD,NC,25
425 EAST ARROWHEAD DRIVE,NC,7
804 GREEN VALLEY RD STE 200,NC,72
1620 SCOTT AVENUE,NC,8
12217 UPPER CREEK WAY,NC,6
4013 OLEANDER DR,NC,5
233 EAST WALNUT STREET,NC,17
120 BECKFORD ROAD,NC,3
301 MCCULLOUGH DR STE 400,NC,19
685 NC HWY 33 EAST  UNIT A,NC,4
430 CONNER GRANT RD,NC,6
3215 FORSYTH DRIVE,NC,4
184 WILLY AUSTIN RD,NC,13
708 ISLE OF PINES RD,NC,3
7110 WRIGHTSVILLE AVE SUITE A-1,NC,3
2235 GATEWAY ACCESS POINT  SUITE 201,NC,12
111 PRINCESS STREET,NC,64
13801 REESE BLVD WEST  SUITE 110,NC,6
5485 S ECHO LAKE DR,AK,4
110 KENDLETON PLACE,NC,11
6574 COVECREEK DRIVE,NC,3
910 N. SANDHILLS BLVD,NC,70
1667 THOMAS A BETTS PKWY,NC,5
190 E PLANTATION CIRCLE,NC,5
300 N MAIN ST STE 400,NC,18
430 S CENTER ST,NC,6
430 S CENTER STREET,NC,4
6135 PARK SOUTH DRIVE  SUITE 510,NC,148
8500 E 12TH CT.,AK,3
4201 CONGRESS STREET  STE. 170,NC,18
10000 TWIN LAKES PARKWAY SUITE B,NC,18
9349 CHINA GROVE CHURCH RD,NC,5
129 GARRETT DRIVE,NC,3
590 URSA MAJOR DRIVE,AK,3
118 PILLOW LANE,NC,3
10305 PENNY ROAD,NC,13
125 S. ESTES DR. #9672,NC,3
416 E. KINGSTON AVENUE,NC,4
7912 JEREMIAH TRAIL,NC,4
120 PENMARC DRIVE  SUITE 118,NC,193
114 MORLAKE DR STE 103,NC,3
143 MERRIMON AVENUE,NC,3
2112 HENDERSONVILLE RD,NC,4
200 S COLLEGE STREET  SUITE 200,NC,14
225 S MAIN ST,NC,11
2332 BEATTIES FORD RD,NC,7
7406 CONCORD HIGHWAY,NC,3
223 EAST BOULEVARD,NC,37
918 COWPER DRIVE,NC,3
4525 PARK ROAD  SUITE 103B,NC,96
4201 CONGRESS ST STE 170,NC,15
180 TOM SAWYER LANE,NC,3
1701 SOUTH BOULEVARD,NC,10
1400 W. BENSON BLVD #370,AK,8
5925 CARNEGIE BLVD  STE 200,NC,4
211 TRIMBLE PLANT ROAD,NC,12
300 CARPATHIAN WAY,NC,15
1300 BAXTER STREET SUITE 300,NC,12
2517 FAIRVIEW ST,NC,5
815 TOWN MOUNTAIN ROAD,NC,5
5412 APPLE GLEN DRIVE,NC,3
711 PRINCESS STREET  2ND FLOOR,NC,8
4725 PIEDMONT ROW DRIVE  SUITE 800,NC,22
172 EAST AVENUE,AK,7
175 OLD FARM RD,NC,3
2000 AVONDALE DR STE G,NC,23
20 TOWN MOUNTAIN ROAD STE 100,NC,170
87 4TH ST NW SUITE C,NC,9
4614 WILGROVE MINT HILL ROAD SUITE G-1,NC,4
405 W. 36TH AVE. SUITE 200,AK,211
160 BROADWAY STREET,NC,4
C/O JON GOLDBERG 1420 E 7TH STREET  SUITE 100,NC,5
3208 CROSS MOUNTAIN CT,NC,4
1038 25TH AVE,AK,3
505 OLD STEESE HWY STE. 122,AK,306
370 N LOUISIANA AVE SUITE D-2,NC,4
22 SOUTH PACK SQUARE SUITE 402,NC,12
1341 SUNNYSIDE ST SW,NC,3
1216 SUNSET RD,NC,21
195 EPHREM RD,NC,15
809 W HILL ST,NC,3
674 FALLS DR W,NC,3
101 E 9TH AVE STE 12-B,AK,126
ONE SEALASKA PLAZASUITE 300,AK,3
640 STATESVILLE BLVD STE 1,NC,25
425 BAY HARBOUR ROAD,NC,3
1775 SHULTZ CIRCLE,NC,22
1616 N MARKET DR STE A,NC,7
5970 FAIRVIEW RD STE 710,NC,14
10955 WINDS CROSSING DR #100,NC,4
133 1/2 EAST FRANKLIN STREET,NC,4
5700 OLEANDER DR,NC,19
309 S. LAUREL AVENUE,NC,4
2120 OLD WINTER PARK ROAD,NC,3
3540 TORINGDON WAY SUITE 200,NC,41
5412 MERYTON PARK WAY,NC,9
20 BEVERLY ROAD WEST,NC,3
507 E MAIN STREET,NC,5
1113 W BROAD ST,NC,4
265 RACINE DRIVE  SUITE 104,NC,7
11010 LAKE GROVE BLVD STE 100,NC,3
1030 ROCKFORD ROAD,NC,3
10125 BERKELEY PLACE DRIVE,NC,10
20521 PHILADELPHIA WAY,AK,4
301 COLLEGE ST.  SUITE 400,NC,7
7101 CREEDMOOR RD STE 142,NC,10
118 NAVAJO TRAIL,NC,4
11 BROOKSTOWN AVENUE,NC,21
114 EDINBURGH SOUTH DRIVE  SUITE 101,NC,19
802 NORTHERN SHORES LANE,NC,23
9611 MORGAN MILL RD,NC,7
2407 CENTRAL AVENUE,NC,3
3453 FORESTDALE DRIVE,NC,40
