Department Description,ChargeID,ChargeDesc,RevCode,Price,CPT_CODE,De-Identified Minimum Outpatient Allowable Rate,De-Identified Maximum Outpatient Allowable Rate,Medicare Outpatient Allowable Rate,Blue Cross Outpatient Allowable Rate,United Healthcare Outpatient Allowable Rate,Corizon Outpatient Allowable Rate,WPPA Outpatient Allowable Rate,Coventry Outpatient Allowable Rate
Purchasing,3250652,PRONTOSAN/WOUND ADAPTOR,270,$327.00,,$0.00,$310.65,$176.58,$0.00,$310.65,$166.77,$228.90,$310.65
Emergency Dept Pro-Fees,311773,PF SMALL BOWEL ENDOSCOPY,983,$975.00,44376,$431.93,$997.00,$526.50,$997.00,$926.25,$497.25,$431.93,$926.25
Chemo,3210025,CH REMOVE TUNNELED CV CATH W/O PORT,260,"$1,396.00",36589,$711.96,"$1,326.20",$753.84,$949.00,"$1,326.20",$711.96,$812.43,"$1,326.20"
Surgery,3220606,NJX INTERLAMINAR LMBR/SAC,360,"$1,100.00",62323,$561.00,"$1,045.00",$594.00,$952.00,"$1,045.00",$561.00,$951.89,"$1,045.00"
Pharmacy,4800386,CARRASYN WOUND GEL,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800413,PO FLUCONAZOLE TAB 100 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3302110,ER TRAUMA TEAM W/CRITICAL CARE,684,"$1,500.00",G0390   ,$0.00,"$1,425.00",$810.00,$0.00,"$1,425.00",$765.00,"$1,050.00","$1,425.00"
Laboratory,3559052,RL VITAMIN B3,300,$0.00,84591,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257607,ANKLE SUPPORT XXL,270,$46.00,L1902   ,$0.00,$43.70,$24.84,$0.00,$43.70,$23.46,$32.20,$43.70
Purchasing,3255275,WRIST/FOREARM LARGE LT. P,274,$31.00,L3908   ,$0.00,$29.45,$16.74,$0.00,$29.45,$15.81,$21.70,$29.45
Surgery,3320712,"OR EXCISION GANGLION WRIST, PRIMARY",360,"$3,393.00",25111,"$1,730.43","$3,223.35","$1,832.22","$2,307.00","$3,223.35","$1,730.43","$2,088.53","$3,223.35"
Laboratory,3552227,LB FERRITIN,300,$129.00,82728,$0.00,$122.55,$69.66,$0.00,$122.55,$65.79,$0.00,$122.55
Purchasing,3251539,SLIDER NITINOL SHUTTLE,270,$241.00,,$0.00,$228.95,$130.14,$0.00,$228.95,$122.91,$168.70,$228.95
Surgery,3150623,INJ PARAVERT F JNT L/S 3 LEV,360,"$1,887.00",64495,$0.00,"$1,792.65","$1,018.98","$1,170.00","$1,792.65",$962.37,$0.00,"$1,792.65"
Purchasing,3256878,MEPILEX FOAM DRESSING 4X4,270,$9.00,,$0.00,$8.55,$4.86,$0.00,$8.55,$4.59,$6.30,$8.55
Laboratory,3559096,RL DRUG SCREEN SINGLE DRUG,300,$0.00,80307,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0098  ,RL HGB INDICES,0,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252967,BABY BATH,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253238,WALK HEEL SINGLE MEDIUM,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Treatment Room,3320061,TR INTERMED REPAIR HANDS/FEET < 2.5CM,761,$544.00,12041,$277.44,$527.00,$293.76,$527.00,$516.80,$277.44,$518.76,$516.80
Pharmacy,4800315,INJ DARBEPOETIN 300 MCG NON ESRD,636,$0.00,J0881   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550045,RL EPSTEIN BARR VCA,300,$181.00,86665,$0.00,$171.95,$97.74,$0.00,$171.95,$92.31,$0.00,$171.95
Pharmacy,4800420,INJ HEPARIN SODIUM 100 UNITS PER ML 5ML,636,$0.00,J1642   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Anesthesia,3180010,PRO NJX INTERLAMINAR LMBR/SAC,964,$375.00,62323,$151.55,$952.00,$202.50,$952.00,$356.25,$191.25,$151.55,$356.25
Purchasing,3259857,SUTURE CX41D ETHIBOND MO-7,270,$36.00,,$0.00,$34.20,$19.44,$0.00,$34.20,$18.36,$25.20,$34.20
Emergency Dept Pro-Fees,323415,PF CORACOACROMIAL LIGAMENT RELEASE,982,"$2,689.00",23415,"$1,081.62","$8,740.00","$1,452.06","$8,740.00","$2,554.55","$1,371.39","$1,081.62","$2,554.55"
Laboratory,3551146,RL ANTISTREPTOLYSIN O,300,$73.00,86060,$0.00,$69.35,$39.42,$0.00,$69.35,$37.23,$0.00,$69.35
Medical Clinic,99455,WORK RELATED/MEDICAL DISABILITY EXAM,521,$0.00,99455,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3020610,Drain/inj joint/bursa w/o us,982,$69.07,20610,$35.23,$413.00,$37.30,$413.00,$65.62,$35.23,$69.62,$65.62
Laboratory,3550586,RL IGFBP-3,300,$223.00,83519,$0.00,$211.85,$120.42,$0.00,$211.85,$113.73,$0.00,$211.85
Medical Clinic,COSMO    ,COSMETIC PROCEDURE,521,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558901,RL INTERLEUKIN 6-HIGH SENSITIVE,300,$0.00,83520,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3064492,Inj paravert f jnt c/t 3 lev,982,$107.60,64492,$54.88,$907.00,$58.10,$907.00,$102.22,$54.88,$93.39,$102.22
Emergency Dept Pro-Fees,328660,PF DISLOCATION INTERPHALANGE W/O ANES,982,"$1,178.00",28660,$142.20,"$1,119.10",$636.12,$801.00,"$1,119.10",$600.78,$142.20,"$1,119.10"
Purchasing,3253643,TED HOSE KNEE HIGH SM REG,270,$12.00,,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Purchasing,3259969,PEG TUBE INSERTION KIT,270,$859.00,,$0.00,$816.05,$463.86,$0.00,$816.05,$438.09,$601.30,$816.05
Laboratory,3559149,5-0H-HEXANOIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3257768,BREAST SHIELD,270,$16.00,,$0.00,$15.20,$8.64,$0.00,$15.20,$8.16,$11.20,$15.20
Medical Clinic,21310,CLOSED TREAT NASAL BONE,521,$362.00,21310,$184.62,$612.00,$195.48,$612.00,$343.90,$184.62,$309.29,$343.90
Purchasing,3251714,POST SURGICAL BRA XL,270,$52.00,,$0.00,$49.40,$28.08,$0.00,$49.40,$26.52,$36.40,$49.40
Pharmacy,4800186,PO MULTIVITAMIN TAB,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253395,POLYLINED TOWEL FEN.,270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Laboratory,3550136,RL ENTEROVIRUS ANTIBODY,300,$137.00,86658,$0.00,$130.15,$73.98,$0.00,$130.15,$69.87,$0.00,$130.15
Logan Clinic,45011765,LG WEDGE EXC SKIN OF NAIL FOLD,983,$0.00,11765,$0.00,$686.00,$0.00,$686.00,$0.00,$0.00,$143.01,$0.00
Emergency Dept Pro-Fees,328289,PF REPAIR HALLUX RIGIDUS W/O IMPLANT,982,"$1,833.00",28289,$705.07,"$3,290.00",$989.82,"$3,290.00","$1,741.35",$934.83,$705.07,"$1,741.35"
Medical Clinic,97597,"DEBRIDEMENT, SELECTIVE 1ST 20CM",521,$0.00,97597,$0.00,$276.00,$0.00,$276.00,$0.00,$0.00,$269.33,$0.00
Purchasing,3254294,ARM SLING UNIVERSAL,270,$20.50,,$0.00,$19.48,$11.07,$0.00,$19.48,$10.46,$14.35,$19.48
Purchasing,3250137,MASK MED NASAL CONTOUR,270,$39.00,,$0.00,$37.05,$21.06,$0.00,$37.05,$19.89,$27.30,$37.05
Pharmacy,4800711,PO MIRTAZAPINE TAB 15 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558805,RL RBC FOLATE,300,$0.00,82747,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3552345,RL ESTROGEN,300,$211.00,82672,$0.00,$200.45,$113.94,$0.00,$200.45,$107.61,$0.00,$200.45
Surgery,2064510,N block stellate ganglion,361,"$3,000.00",64510,$708.00,"$2,850.00","$1,620.00",$708.00,"$2,850.00","$1,530.00","$1,233.69","$2,850.00"
Surgery,3150613,CLSD TRMNT PST HIP ARTHRODISLOC R/G ANES,360,"$2,800.00",27266,"$1,067.00","$2,660.00","$1,512.00","$1,067.00","$2,660.00","$1,428.00","$2,088.53","$2,660.00"
Medical Clinic,OB       ,OB VISIT,521,$0.00,99999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3302106,ER HIP DISLOCATION CLOSED W/O ANESTHESIA,450,"$1,016.00",27250,$309.29,$965.20,$548.64,$536.00,$965.20,$518.16,$309.29,$965.20
Laboratory,3558732,RL RED TOP GRASS (G9) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800205,INJ LIDOCAINE HCL MPF 2PCT EPI 10ML VL,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801074,IMPLANT LEVONORGESTREL CONTRACEPTIVE IUD,636,$0.00,J7298   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3255309,BREAST LOCALIZATION NEEDLE WIRE,270,$57.60,,$0.00,$54.72,$31.10,$0.00,$54.72,$29.38,$40.32,$54.72
Outpatient Clinic,6449250,INJ PARAVERT F JNT C/Y 3 LEV,982,$0.00,64492,$0.00,$907.00,$0.00,$907.00,$0.00,$0.00,$93.39,$0.00
Pharmacy,4810039,PREDNISOLONE SOLUT 15 MG,259,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800231,INJ PIPERACILLIN TAZOBACTAM 4.5 GM,636,$0.00,J2543   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701308,MYELOGRAPHY LUMBAR INJECTION THORACIC,761,$0.00,62303,$0.00,"$3,067.00",$0.00,"$3,067.00",$0.00,$0.00,"$1,072.77",$0.00
Purchasing,3250375,WRIGHT AUGMENT BONE GRAFT KIT 1.5CC,270,"$3,150.00",,$0.00,"$2,992.50","$1,701.00",$0.00,"$2,992.50","$1,606.50","$2,205.00","$2,992.50"
Laboratory,3558926,RL MYELOPEROXIDASE AB (MPO),300,$0.00,86021,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559180,MEVALONOLACTONE  CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,312052,PF INTERMED WOUND REPAIR FACE 2.6-5.0CM,982,$613.00,12052,$305.40,$873.00,$331.02,$873.00,$582.35,$312.63,$305.40,$582.35
Purchasing,3250116,M-6 TANK CONTENTS,270,$25.00,,$0.00,$23.75,$13.50,$0.00,$23.75,$12.75,$17.50,$23.75
Purchasing,3254997,"""STOCKINETTE 4""""/FOOT""",270,$2.50,,$0.00,$2.38,$1.35,$0.00,$2.38,$1.28,$1.75,$2.38
Purchasing,3252017,CORD CLAMP CLIPPER,270,$10.00,,$0.00,$9.50,$5.40,$0.00,$9.50,$5.10,$7.00,$9.50
Laboratory,3559095,RL DRUG SCREEN S/BLOOD,300,$0.00,80307,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3259426,SUTURE SA65H,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Pharmacy,4800998,PO FLUVOXAMINE 50 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3254898,CANNULA INSTRUMENT 7MM,270,$75.00,,$0.00,$71.25,$40.50,$0.00,$71.25,$38.25,$52.50,$71.25
Speech Therapy,4050138,ST SWALLOW GOAL STAT W/MOD,440,$0.00,G8997   ,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3700750,"XR SKELETAL SURVEY, LIMITED",320,$0.00,77074,$0.00,$163.46,$0.00,$0.00,$0.00,$0.00,$163.46,$0.00
Laboratory,3558972,2-0H-ISOVALERIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256711,TED HOSE THI-HIGH LG.LNG.,270,$15.00,,$0.00,$14.25,$8.10,$0.00,$14.25,$7.65,$10.50,$14.25
Outpatient Clinic,6463550,DESTROY LUMB/SAC FACET JNT,982,$0.00,64635,$0.00,$340.18,$0.00,$0.00,$0.00,$0.00,$340.18,$0.00
Purchasing,3258493,GAIT BELT WITH FOUR HANDLES,270,$82.00,,$0.00,$77.90,$44.28,$0.00,$77.90,$41.82,$57.40,$77.90
Pharmacy,4800575,PO ESTROGEN CONJUGATED TAB 0.625 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3256264,"""TAPE MEDIPORE 1""""""",270,$8.00,,$0.00,$7.60,$4.32,$0.00,$7.60,$4.08,$5.60,$7.60
Laboratory,3559161,GLUTARIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11421,EXC BENIGN LESION S/N/H/F/GEN 0.6-1.0 CM,521,$308.00,11421,$157.08,"$1,213.00",$166.32,"$1,213.00",$292.60,$157.08,$932.96,$292.60
Laboratory,3558858,RL SSDNA ANTIBODY,300,$0.00,86226,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3252917,REACTION KNEE BRACE XS/S,270,$263.00,L2795   ,$0.00,$249.85,$142.02,$0.00,$249.85,$134.13,$184.10,$249.85
Medical Clinic,99211,OFFICE VISIT EST PATIENT LEVEL 1,521,$0.00,99211,$0.00,$35.00,$0.00,$35.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,11772,EXC PILONIDAL CYST/SINUS COMPLICATED,521,"$1,737.00",11772,$885.87,"$4,175.00",$937.98,"$4,175.00","$1,650.15",$885.87,"$3,555.02","$1,650.15"
Purchasing,3251612,BLADE AVERAGE MEDIUM 25MMX9,270,$89.00,,$0.00,$84.55,$48.06,$0.00,$84.55,$45.39,$62.30,$84.55
Pharmacy,4800970,LEVALBUTEROL CONC INH SOL 1.25 MG/0.5 ML,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550092,RL TSI GLOBULIN,300,$855.00,84445,$0.00,$812.25,$461.70,$0.00,$812.25,$436.05,$0.00,$812.25
Laboratory,3550005,RL RPR (STS),300,$66.00,86592,$0.00,$62.70,$35.64,$0.00,$62.70,$33.66,$46.20,$62.70
Purchasing,3251688,FOLEY CATH. TRAY 16 FR.,270,$34.00,,$0.00,$32.30,$18.36,$0.00,$32.30,$17.34,$23.80,$32.30
Laboratory,3558832,RL NON SPECIFIC DNA PROBE,300,$0.00,87798,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,312054,PF INTERMED WOUND REPAIR FACE 7.6-12.5CM,982,$904.00,12054,$332.19,"$1,050.00",$488.16,"$1,050.00",$858.80,$461.04,$332.19,$858.80
Pharmacy,3360614,INJ PENICILLIN 1200000 MU A PFS,636,$447.00,J0561   ,$0.00,$424.65,$241.38,$0.00,$424.65,$227.97,$312.90,$424.65
Purchasing,3252140,"""HALF DRAPE SHEET 44""""X76""""""",270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550009,RL SERUM PROTEIN ELECTROPHORETIC,300,$141.00,84165,$0.00,$133.95,$76.14,$0.00,$133.95,$71.91,$0.00,$133.95
Pharmacy,4800187,PO SILVER SULFADIAZINE CREAM 50 GM,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,321310,PF CLOSED TREAT NASAL BONE,982,$362.00,21310,$41.63,$612.00,$195.48,$612.00,$343.90,$184.62,$41.63,$343.90
Outpatient Clinic,3558078,OP ICD EVAL MULT,510,$0.00,93284,$0.00,$55.73,$0.00,$38.00,$0.00,$0.00,$55.73,$0.00
Purchasing,3258114,NASAL SPECULUM DISP,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Purchasing,3257599,KNEE BRACE HINGED XXXL,270,$84.00,L1820   ,$0.00,$79.80,$45.36,$0.00,$79.80,$42.84,$58.80,$79.80
Medical Clinic,59160,"CURETTAGE, POSTPARTUM",521,$0.00,59160,$0.00,"$3,934.82",$0.00,"$1,523.00",$0.00,$0.00,"$3,934.82",$0.00
Laboratory,3558986,PHENYLLACTIC ACID CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3259971,INFUSION SLEEVES,270,$36.00,,$0.00,$34.20,$19.44,$0.00,$34.20,$18.36,$25.20,$34.20
Emergency Dept Pro-Fees,312002,PF SIMPLE WOUND REPAIR TRUNK 2.6-7.5CM,982,$456.00,12002,$88.43,$453.00,$246.24,$453.00,$433.20,$232.56,$88.43,$433.20
Purchasing,3252009,COLON TUBE (RECTAL),270,$8.00,,$0.00,$7.60,$4.32,$0.00,$7.60,$4.08,$5.60,$7.60
Emergency Dept Pro-Fees,327250,PF HIP DISLOCATION CLOSED W/O ANESTHESIA,982,"$1,638.00",27250,$270.25,"$1,556.10",$884.52,$536.00,"$1,556.10",$835.38,$270.25,"$1,556.10"
Pharmacy,4800718,PO METOPROLOL TARTRATE TAB 25 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4801200,PO HYDROCHLOROTHIAZIDE 25MG 4TAB OP PACK,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3550270,LB ANTIBODY SCREEN,300,$74.00,86850,$0.00,$74.64,$39.96,$0.00,$70.30,$37.74,$74.64,$70.30
Laboratory,3558769,RL COPPER,300,$0.00,82525,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,69200,REMOVE FB EXT EAR CANAL W/O ANES,521,$0.00,69200,$0.00,$239.00,$0.00,$239.00,$0.00,$0.00,$167.93,$0.00
Pharmacy,4801231,OP GABAPENT PKT (4),250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250287,DEODORANT ROLL-ON 2.5 OZ,990,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Surgery,3220627,OR RPR INITIAL INCISIONAL/VENTRAL HRNA,360,"$3,699.00",49560,"$1,886.49","$4,775.12","$1,997.46","$2,515.00","$3,514.05","$1,886.49","$4,775.12","$3,514.05"
Purchasing,3258998,PROX.LINEAR RELOAD UNIT,270,$180.00,,$0.00,$171.00,$97.20,$0.00,$171.00,$91.80,$126.00,$171.00
Surgery,3320627,"OR UPPER ENDOSCOPY, DIAGNOSTIC",360,"$1,504.00",43235,$767.04,"$1,428.80",$812.16,"$1,023.00","$1,428.80",$767.04,"$1,214.40","$1,428.80"
Purchasing,3250532,RING FORCEPS/USAGE,270,$7.50,,$0.00,$7.13,$4.05,$0.00,$7.13,$3.83,$5.25,$7.13
Pharmacy,4800051,LOSARTAN POTASSIUM TAB 25 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3558743,LB EOSINOPHIL COUNT,300,$0.00,85048,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3253601,SYRINGE INSULIN,270,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Observation,3310381,OBS INSERTION NON-INDWELLING CATHETER,761,$167.00,51701,$85.17,$167.93,$90.18,$143.46,$158.65,$85.17,$167.93,$158.65
Pharmacy,4800117,LEVOTHYROXINE SODIUM TAB 112 MCG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3551336,RL HEPATITIS B SURFACE AG,300,$157.00,87340,$0.00,$149.15,$84.78,$0.00,$149.15,$80.07,$0.00,$149.15
Nursing,3693242,EXT ECG >48 HRS <7D RECORDING,731,$0.00,93242,$0.00,$50.76,$0.00,$0.00,$0.00,$0.00,$50.76,$0.00
Laboratory,3558733,RL BROME GRASS (G11) IGE,300,$0.00,86003,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Room,3300405,"ER PLACEMENT NEEDLE/INTRACATHETER, VEIN",450,$100.00,36000,$0.00,$95.00,$54.00,$67.00,$95.00,$51.00,$0.00,$95.00
Emergency Dept Pro-Fees,311778,PF CLSD TRT POST HIP ATHRO DISLCTN W/O A,983,"$1,012.00",27265,$516.12,$961.40,$546.48,$801.00,$961.40,$516.12,$630.98,$961.40
Purchasing,3254501,STAX FINGER SPLINT,270,$12.00,L3927   ,$0.00,$11.40,$6.48,$0.00,$11.40,$6.12,$8.40,$11.40
Purchasing,3256884,DRESSING DUODERM SIGNAL,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Medical Clinic,11770,"EXC PILONIDAL CYST/SINUS, SIMPLE",521,$720.00,11770,$367.20,"$3,555.02",$388.80,"$1,698.00",$684.00,$367.20,"$3,555.02",$684.00
Emergency Dept Pro-Fees,420610,"PF INJECT MAJ JOINT/BURSA, BILAT W/O US",982,$0.00,20610,$0.00,$413.00,$0.00,$413.00,$0.00,$0.00,$69.62,$0.00
Logan Clinic,45099393,LG PREVENTIVE MED EST PT 5-11 Y/O,983,$0.00,99393,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Radiology,3701183,XR KNEES BILAT STANDING - 1 VIEW,320,$0.00,73565,$0.00,$121.35,$0.00,$108.56,$0.00,$0.00,$121.35,$0.00
Pharmacy,4800411,PO FIRST HYDROCORT 10PCT GEL,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800878,PO MELOXICAM TAB 7.5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,LAB0067  ,LB IRON TIBC,300,$0.00,83550,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Laboratory,3559178,GLYCERIC ACID  CREATININE,300,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Emergency Dept Pro-Fees,311769,PF CLTX TRIMALLEOLAR ANKLE FX W/MANIPULA,983,"$1,116.00",27818,$569.16,"$1,897.00",$602.64,"$1,897.00","$1,060.20",$569.16,$679.29,"$1,060.20"
Respiratory Therapy,3900640,RT PFT PRE/POST,460,$0.00,94060,$0.00,$396.68,$0.00,$189.08,$0.00,$0.00,$396.68,$0.00
Medical Clinic,54060,EXCISION OF PENILE LESION,521,$0.00,54060,$0.00,"$2,573.04",$0.00,$0.00,$0.00,$0.00,"$2,573.04",$0.00
Purchasing,3250111,CARR-LOCKE INJECT. NEEDLE,270,$116.00,,$0.00,$110.20,$62.64,$0.00,$110.20,$59.16,$81.20,$110.20
Purchasing,3252223,ENDOTRACHEAL TUBE 5.0 MM,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Laboratory,3558802,RL COMPLEMENT C4C,300,$0.00,86160,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Medical Clinic,32555,"THORACENTESIS, GUIDED",521,$496.00,32555,$252.96,$854.00,$267.84,$854.00,$471.20,$252.96,$812.43,$471.20
Purchasing,3258923,SUTURE J205G VICRYL 3-0,270,$6.00,,$0.00,$5.70,$3.24,$0.00,$5.70,$3.06,$4.20,$5.70
Surgery,3150663,OR MAJOR ADDTL 15 MINS,360,$933.00,,$0.00,$886.35,$503.82,$0.00,$886.35,$475.83,$653.10,$886.35
Laboratory,3550304,LB SHIP AND HANDLING NO TEST,300,$32.00,99000,$0.00,$30.40,$17.28,$0.00,$30.40,$16.32,$22.40,$30.40
Medical Clinic,38500,"BIOPSY/EXCISION LYMPH NODE, OPEN",521,$0.00,38500,$0.00,"$4,736.61",$0.00,"$2,205.00",$0.00,$0.00,"$4,736.61",$0.00
Emergency Dept Pro-Fees,346230,PF EXCISION EXTERNAL HEMORRH,982,"$4,947.00",46230,$265.63,"$4,699.65","$2,671.38","$3,364.00","$4,699.65","$2,522.97",$265.63,"$4,699.65"
Pharmacy,4800736,PO GLIPIZIDE TAB 5 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3250523,"""SUTURE VCP417H - 2-0 27""""""",270,$5.50,,$0.00,$5.23,$2.97,$0.00,$5.23,$2.81,$3.85,$5.23
Purchasing,3255035,EYE PHACO OMS SINGLE U,270,$75.00,,$0.00,$71.25,$40.50,$0.00,$71.25,$38.25,$52.50,$71.25
Purchasing,3257875,SUTURE K833H 2-0 SILK,270,$5.00,,$0.00,$4.75,$2.70,$0.00,$4.75,$2.55,$3.50,$4.75
Emergency Dept Pro-Fees,368020,PF I & D CONJUNTIVAL CYST,982,$0.00,68020,$0.00,$170.47,$0.00,$0.00,$0.00,$0.00,$170.47,$0.00
Purchasing,3252959,MAYO STAND COVER,270,$3.00,,$0.00,$2.85,$1.62,$0.00,$2.85,$1.53,$2.10,$2.85
Laboratory,3558812,RL HEPATITIS A IGM,300,$0.00,86709,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800312,PO HYDROCORTISONE ACETATE SUPP 25 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Pharmacy,4800828,PO LAMOTRIGINE TAB 100 MG,250,$0.00,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Purchasing,3258956,"""GEL CUSHION WITH COVER 3""""""",270,$102.00,,$0.00,$96.90,$55.08,$0.00,$96.90,$52.02,$71.40,$96.90
Treatment Room,3326100,TR INTERMED REPAIR TRUNK 2.6-7.5CM,761,"$2,800.00",12032,$518.76,"$2,660.00","$1,512.00","$1,301.00","$2,660.00","$1,428.00",$518.76,"$2,660.00"
Medical Clinic,12041,INTERMED REPAIR HANDS/FEET < 2.5CM,521,$554.00,12041,$282.54,$527.00,$299.16,$527.00,$526.30,$282.54,$518.76,$526.30
Medical Clinic,98928,OMT 7-8 BODY REGIONS,521,$0.00,98928,$0.00,$39.83,$0.00,$0.00,$0.00,$0.00,$39.83,$0.00
Emergency Dept Pro-Fees,327372,PF REM FOR BODY DEEP RT THIGH,982,"$6,922.00",27372,$621.04,"$6,575.90","$3,737.88","$4,707.00","$6,575.90","$3,530.22",$621.04,"$6,575.90"
